index,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
3602,Vampires,1998,6.1,56120,Action; Horror; Thriller,108,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
3603,Six,1998,7.3,11937,Action; Drama; History,60,Series,TV-MA,19,Moderate,Severe,No Rate,No Rate,No Rate
3604,The Practice,1998,7.7,8454,Crime; Drama; Mystery,60,Series,TV-14,167,No Rate,No Rate,No Rate,No Rate,No Rate
3605,Lara Croft Tomb Raider: The Cradle of Life,2003,5.6,135111,Action; Adventure; Fantasy,117,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3606,Clear and Present Danger,1994,6.9,95189,Action; Crime; Drama,141,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3607,Roman Empire,1994,7.0,6861,Documentary; Biography; Drama,48,Series,TV-MA,15,Severe,Moderate,Mild,Mild,Mild
3608,Covert Affairs,1994,7.3,27951,Action; Crime; Drama,60,Series,TV-PG,75,Mild,Mild,Moderate,Mild,Mild
3609,Monster,1994,8.6,24327,Animation; Crime; Drama,24,Series,TV-14,75,Moderate,Moderate,Mild,Moderate,Severe
3610,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,88362,Action; Adventure; Comedy,112,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
3611,Sardar Udham,2021,9.2,8649,Biography; Crime; Drama,164,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3612,Scary Movie 5,2013,3.5,68660,Comedy,88,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
3613,Tales from the Loop,2013,7.5,16612,Drama; Sci-Fi,50,Series,TV-MA,8,Moderate,None,Moderate,Mild,No Rate
3614,Bom yeoreum gaeul gyeoul geurigo bom,2003,8.0,80451,Drama; Romance,103,Film,R,-,Moderate,Mild,Mild,None,Mild
3615,Waitress,2007,7.0,44999,Comedy; Drama; Romance,108,Film,PG-13,-,Mild,Mild,Mild,No Rate,Moderate
3616,Explained,2007,8.0,8187,Documentary,18,Series,TV-MA,44,Moderate,No Rate,No Rate,No Rate,No Rate
3617,Shakespeare & Hathaway: Private Investigators,2007,7.6,2951,Comedy; Drama; Mystery,45,Series,Not Rated,40,None,Mild,None,Mild,Mild
3618,The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,4.2,7223,Comedy; Horror; Musical,88,Film,TV-14,-,Moderate,Mild,Moderate,Moderate,Moderate
3619,DOA: Dead or Alive,2006,4.8,44244,Action; Adventure; Mystery,87,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
3620,Good on Paper,2021,5.6,9730,Comedy; Romance,92,Film,Unrated,-,Mild,Mild,Severe,Moderate,No Rate
3621,Coach Carter,2005,7.3,136769,Biography; Drama; Sport,136,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Mild
3622,Calls,2005,7.7,3957,Drama; Horror; Mystery,12,Series,TV-MA,9,Mild,Moderate,Severe,Mild,Moderate
